,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
398,398,Charagua,BO,-19.8,-63.2167,65.26,83,100,4.7,overcast clouds,Hotel
399,399,Cravo Norte,CO,6.3017,-70.2041,74.93,92,99,3.96,overcast clouds,Hotel Potosí Los Mirtos
400,400,Amapa,BR,1.0,-52.0,70.27,100,98,0.27,overcast clouds,
403,403,Antsohihy,MG,-14.8796,47.9875,80.76,47,3,4.59,clear sky,Hotel de Ville
405,405,Tahta,EG,26.7693,31.5021,71.24,51,0,6.46,clear sky,فندق الزيات
409,409,Jeremie,HT,18.65,-74.1167,79.88,80,15,3.67,few clouds,Auberge’Inn
410,410,Pontal Do Parana,BR,-25.6533,-48.5128,66.2,97,67,2.91,broken clouds,Eco Hostel Residencial Bananeiras
412,412,Entre Rios,BR,-11.9419,-38.0844,65.03,96,4,1.7,clear sky,Pousada Porteira
413,413,Manyana,BW,-23.4,21.7167,66.0,65,100,7.02,overcast clouds,
414,414,Ariquemes,BR,-9.9133,-63.0408,71.94,99,100,2.42,overcast clouds,Hotel Sol Nascente - Ariquemes - RO
415,415,Itamaraca,BR,-7.7478,-34.8256,77.05,84,72,8.55,broken clouds,Special K's Bed & Breakfast
417,417,Lyantonde,UG,-0.4031,31.1572,67.21,78,98,4.29,overcast clouds,Novella Hotel & Spa
421,421,Mudbidri,IN,13.0833,74.9833,83.82,70,40,3.44,scattered clouds,Hotel Navami Comforts
422,422,Mathathane,BW,-22.2687,28.7495,69.08,75,80,20.85,broken clouds,Selepswe Resort
424,424,Masunga,BW,-20.6246,27.4488,73.87,41,39,15.5,scattered clouds,
425,425,Esmeraldas,BR,-19.7625,-44.3139,66.51,64,6,4.41,clear sky,Forasteiro Pousada
426,426,Port Shepstone,ZA,-30.7414,30.455,70.05,80,96,13.69,overcast clouds,My Den Beachfront Bed and Breakfast | Self-Catering
